num_nodes,num_edges,ratio_n_m,ratio_m_n,density,min_degree,max_degree,mean_degree,median_degree,q0.25_degree,q0.75_degree,variation_coefficient_degree,entropy_degree,best_alg
2110,3999,0.5276319079769942,1.895260663507109,0.0017973074096795,2,4,3.790521327014218,4.0,4.0,4.0,0.1085783997746306,0.7524027794617798,astar_alg
4945,1415454,0.0034935787386944,286.23943377148635,0.1157926512020575,497,656,572.4788675429727,573.0,557.0,587.0,0.0391911326855599,6.505682976842,astar_alg
3497,6712,0.5210071513706794,1.919359450957964,0.0010980317225159,2,4,3.838718901915928,4.0,4.0,4.0,0.0966173945448071,0.644436867160868,astar_alg
5025,473687,0.0106082708624049,94.26606965174128,0.0375263016129543,142,247,188.53213930348252,188.0,180.0,198.0,0.0702084388335609,5.757129383724271,astar_alg
3461,13844,0.25,4.0,0.0023121387283236,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,dfs_alg
1322,17607,0.0750837734991764,13.318456883509834,0.0201642042142465,13,46,26.636913767019667,26.0,23.0,30.0,0.1957872264509256,4.397492629291333,bfs_alg
1582,233818,0.0067659461632551,147.79898862199747,0.1869689925641966,245,351,295.59797724399493,296.0,285.0,306.0,0.0518669914585758,5.942041051227778,bfs_alg
3590,1171513,0.0030644132843596,326.3267409470752,0.1818482813859432,574,735,652.6534818941504,652.0,637.0,668.0,0.0356070181753964,6.54873509370991,astar_alg
568,22422,0.0253322629560253,39.475352112676056,0.1392428645949772,56,106,78.95070422535211,78.0,73.0,84.0,0.1063643597860163,5.047091976177196,dfs_alg
2000,4000,0.5,2.0,0.0020010005002501,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,astar_alg
558,24800,0.0225,44.44444444444444,0.1595850787951326,63,124,88.88888888888889,88.0,83.0,94.0,0.0990476323176982,5.075715435676921,bfs_alg
1771,27188,0.0651390319258496,15.351778656126482,0.0173466425492954,16,50,30.703557312252965,31.0,27.0,35.0,0.183101854094453,4.520496741054424,bfs_alg
2010,6030,0.3333333333333333,3.0,0.0029865604778496,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
3200,9580,0.3340292275574112,2.99375,0.0018716786495779,3,14,5.9875,6.0,5.0,7.0,0.2334380260500346,2.488572926247355,astar_alg
4610,354618,0.0129999041221821,76.9236442516269,0.0333797545027671,109,210,153.8472885032538,154.0,145.0,162.0,0.0793612268796081,5.640803038699592,astar_alg
2014,6042,0.3333333333333333,3.0,0.0029806259314456,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,dfs_alg
2641,564488,0.0046785759839004,213.74024990533889,0.1619244317464688,364,486,427.48049981067777,427.0,415.0,440.0,0.0446165905785628,6.268435851444021,bfs_alg
3672,1347805,0.0027244297209166,367.0492919389978,0.1999723737068906,645,851,734.0985838779957,734.0,717.0,750.0,0.0333361328113315,6.623629263167556,bfs_alg
2277,320538,0.0071036819347472,140.77206851119894,0.1237012904316335,224,358,281.5441370223979,281.0,271.0,292.0,0.0560095190928644,5.981724100473837,bfs_alg
3059,586974,0.0052114744435017,191.8842759071592,0.1254965833271152,322,444,383.7685518143184,384.0,371.0,396.0,0.0468158795503645,6.182455495404367,dfs_alg
2055,209972,0.0097870192216105,102.17615571776156,0.0994899276706539,165,249,204.35231143552312,204.0,195.0,213.0,0.0656088381504556,5.758926723322216,dfs_alg
4520,8887,0.5086080792168336,1.966150442477876,0.0008701705875095,2,4,3.932300884955752,4.0,4.0,4.0,0.0647781110084506,0.3607095805177016,dfs_alg
698,32747,0.0213149296118728,46.91547277936963,0.1346211557514193,67,120,93.83094555873926,94.0,88.0,100.75,0.0988431834163901,5.22083897961722,dfs_alg
846,1627,0.5199754148740012,1.923167848699764,0.0045518765649698,2,4,3.8463356973995273,4.0,4.0,4.0,0.097107357565646,0.6374167082735692,astar_alg
3903,6502,0.600276837896032,1.665898027158596,0.0008538687991586,2,4,3.331796054317192,3.0,3.0,4.0,0.1419743992583841,0.9288387684617748,astar_alg
3598,6925,0.5195667870036101,1.924680377987771,0.0010701586755561,2,4,3.849360755975542,4.0,4.0,4.0,0.0937276449646498,0.6181161036817222,dfs_alg
2003,2002,1.0004995004995003,0.9995007488766848,0.00099850224663,1,2,1.9990014977533697,2.0,2.0,2.0,0.0157995411128218,0.011392831991745,astar_alg
3322,6471,0.5133673311698347,1.9479229379891632,0.0011730942113755,2,4,3.8958458759783263,4.0,4.0,4.0,0.0794120647962147,0.4877324557333093,astar_alg
3821,11440,0.3340034965034965,2.993980633342057,0.0015675291274042,3,13,5.987961266684114,6.0,5.0,7.0,0.2246037304353232,2.4467992335663085,astar_alg
3545,718455,0.0049341990799702,202.66713681241183,0.1143719733704355,345,471,405.3342736248237,406.0,392.0,418.0,0.0477124219508016,6.290532765008623,astar_alg
3530,936341,0.0037699940513125,265.2524079320113,0.1503272360056737,462,597,530.5048158640227,531.0,516.0,544.0,0.0402520766034379,6.43607647839573,bfs_alg
4601,13780,0.3338896952104499,2.9950010867202783,0.0013021743855305,3,15,5.990002173440557,6.0,5.0,7.0,0.235190036060447,2.4960268312699974,astar_alg
3637,10911,0.3333333333333333,3.0,0.0016501650165016,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,bfs_alg
4041,472675,0.0085492145766118,116.96980945310568,0.0579058462639136,177,287,233.9396189062113,234.0,224.0,244.0,0.0630105423124357,5.904829615789544,dfs_alg
4354,48345,0.0900610197538525,11.103582912264583,0.005101577262699,8,43,22.20716582452917,22.0,19.0,25.0,0.2138143578660621,4.282220365088246,astar_alg
2525,48630,0.0519226814723421,19.25940594059406,0.0152610189703597,15,61,38.51881188118812,38.0,34.0,43.0,0.1603633271574645,4.663662137246329,astar_alg
4652,752388,0.0061829800581614,161.73430782459158,0.0695481865511036,261,383,323.4686156491832,323.5,312.0,335.0,0.0519851493430399,6.097316004110698,astar_alg
3680,7234,0.5087088747580868,1.965760869565217,0.001068638689625,2,4,3.931521739130434,4.0,4.0,4.0,0.0653264705119528,0.3641396051118251,astar_alg
2896,770806,0.0037571061979278,266.16229281767954,0.1838772316529738,459,605,532.3245856353591,532.0,518.0,546.0,0.0395494288671147,6.407412598111561,dfs_alg
3188,5575,0.5718385650224215,1.748745294855709,0.0010974240946694,2,4,3.497490589711418,3.0,3.0,4.0,0.143673547034927,1.012646573754009,astar_alg
4813,1359446,0.0035404127857965,282.45293995429046,0.1173952368887325,487,650,564.9058799085809,565.0,550.0,580.0,0.0396054669459771,6.510142095599219,dfs_alg
263,773,0.3402328589909443,2.9391634980988592,0.0224363625809073,3,12,5.878326996197719,6.0,5.0,7.0,0.235520935532506,2.457445680756072,dfs_alg
3975,868210,0.0045783854136672,218.4176100628931,0.1099233065238515,373,514,436.8352201257862,437.0,424.0,449.0,0.0446615102215996,6.308226757156265,astar_alg
177,708,0.25,4.0,0.0454545454545454,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,dfs_alg
1220,2440,0.5,2.0,0.0032813781788351,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,astar_alg
3582,10725,0.3339860139860139,2.994137353433836,0.0016722353272459,3,15,5.988274706867672,6.0,5.0,7.0,0.2363533742134398,2.5028750836776577,astar_alg
714,2122,0.3364750235626767,2.9719887955182074,0.0083365744614816,3,12,5.943977591036415,6.0,5.0,7.0,0.2387353847161178,2.5014697153661776,astar_alg
202,590,0.3423728813559322,2.9207920792079207,0.0290626077533126,3,9,5.841584158415841,6.0,5.0,7.0,0.2243442997664311,2.4147828000609683,astar_alg
4509,657577,0.0068569916526885,145.8365491239743,0.0647012196645848,234,346,291.67309824794853,292.0,281.0,303.0,0.0551248278537526,6.0302325103186565,astar_alg
1738,233617,0.0074395270892101,134.41714614499423,0.1547693104720716,222,321,268.83429228998847,269.0,259.0,278.0,0.0552425363227306,5.892082709469284,astar_alg
2482,4857,0.5110150298538192,1.956889605157132,0.0015775006893648,2,4,3.913779210314263,4.0,4.0,4.0,0.0731706663990605,0.4297271406161017,astar_alg
4956,14845,0.3338497810710677,2.995359160613398,0.0012090248882395,3,14,5.990718321226796,6.0,5.0,7.0,0.2335241286023864,2.493037803267554,astar_alg
2619,5114,0.5121235823230348,1.952653684612448,0.0014917140447765,2,4,3.905307369224895,4.0,4.0,4.0,0.0762963327916253,0.4581912326869777,astar_alg
3328,6540,0.5088685015290519,1.9651442307692308,0.0011813310674897,2,4,3.9302884615384617,4.0,4.0,4.0,0.0659842184553902,0.3690664449914939,astar_alg
3002,130568,0.0229918509895227,43.49367088607595,0.0289861185512002,57,122,86.9873417721519,87.0,81.0,93.0,0.1042220745326523,5.211124738055413,astar_alg
4748,14221,0.3338724421629984,2.995155855096883,0.0012619152538853,3,15,5.990311710193766,6.0,5.0,7.0,0.2317115711671536,2.480444638108272,bfs_alg
4811,1510903,0.0031841885283171,314.05175639160257,0.1305828508904792,547,714,628.1035127832051,628.0,613.0,644.0,0.0369004653903642,6.5546123323349885,astar_alg
2478,4855,0.5104016477857879,1.9592413236481032,0.0015819469710521,2,4,3.9184826472962064,4.0,4.0,4.0,0.0713196971968054,0.413229891017478,astar_alg
3561,7122,0.5,2.0,0.0011235955056179,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,astar_alg
3373,10098,0.3340265399088928,2.993774088348651,0.001775666719068,3,14,5.987548176697302,6.0,5.0,7.0,0.2342143084613769,2.489130919391463,astar_alg
3400,297986,0.0114099320102286,87.64294117647059,0.0515698388799473,124,222,175.28588235294117,175.0,166.0,184.0,0.0739395108111974,5.72064579259185,astar_alg
4950,1392350,0.0035551405896505,281.2828282828283,0.1136725917489708,474,642,562.5656565656566,562.0,548.0,577.0,0.0391795249549766,6.485330133778913,bfs_alg
4931,14770,0.33385240352065,2.995335631717704,0.0012151463008996,3,14,5.9906712634354085,6.0,5.0,7.0,0.2331739350997122,2.491763034911458,dfs_alg
4794,14359,0.3338672609513197,2.99520233625365,0.0012498236329036,3,16,5.9904046725073,6.0,5.0,7.0,0.2318005293642115,2.4811235782222467,astar_alg
2772,32066,0.086446703673673,11.567821067821068,0.0083492032246994,11,42,23.135642135642136,23.0,20.0,26.0,0.2060052674641057,4.2821264888109365,astar_alg
897,6248,0.1435659411011523,6.965440356744705,0.0155478579391622,3,26,13.93088071348941,14.0,11.0,17.0,0.271815763472673,3.943527173139653,astar_alg
1554,101591,0.0152966306070419,65.37387387387388,0.0841904364119431,99,166,130.74774774774775,130.0,123.0,138.0,0.0842488621952688,5.487276370485837,bfs_alg
3942,15768,0.25,4.0,0.0020299416391778,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,dfs_alg
3232,9673,0.334125917502326,2.9928836633663365,0.0018526051769522,3,12,5.985767326732673,6.0,5.0,7.0,0.2252864625906558,2.447299960833686,astar_alg
3690,266516,0.0138453226072731,72.22655826558265,0.0391577979211616,102,190,144.4531165311653,144.0,137.0,152.0,0.0810647211460712,5.576077719328039,dfs_alg
4199,175665,0.0239034525944268,41.83496070492974,0.0199309007646163,46,121,83.66992140985948,84.0,78.0,90.0,0.1077973433512642,5.207053501178544,bfs_alg
4024,1363453,0.002951330188866,338.830268389662,0.1684465664378135,591,777,677.660536779324,678.0,662.0,693.0,0.034708189688941,6.570355016957916,astar_alg
3154,9462,0.3333333333333333,3.0,0.0019029495718363,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
3643,503691,0.0072326088812386,138.26269558056546,0.075926796035456,224,332,276.5253911611309,276.0,266.0,287.0,0.057284559117176,6.007221149985031,astar_alg
850,34855,0.0243867450867881,41.00588235294118,0.0965980738585186,54,106,82.01176470588236,82.0,75.0,88.0,0.1067508146675531,5.101090837789643,astar_alg
4108,12324,0.3333333333333333,3.0,0.0014609203798392,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
1309,19482,0.0671902268760907,14.883116883116884,0.0227570594543071,16,50,29.766233766233768,30.0,26.0,33.0,0.1845892206025776,4.476474422690737,dfs_alg
3122,6007,0.5197269851839521,1.9240871236386927,0.0012329939914378,2,4,3.8481742472773854,4.0,4.0,4.0,0.0941757463814573,0.6218522329876855,astar_alg
4339,4338,1.000230520977409,0.999769532150265,0.0004609356994699,1,2,1.99953906430053,2.0,2.0,2.0,0.0107347062718995,0.0057734544207346,astar_alg
461,1365,0.3377289377289377,2.960954446854664,0.0128737149863246,3,11,5.921908893709327,6.0,5.0,7.0,0.2172720125255612,2.383508403873557,astar_alg
1104,4416,0.25,4.0,0.0072529465095194,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,astar_alg
4588,44092,0.1040551573981674,9.6102877070619,0.0041902279080278,5,37,19.2205754141238,19.0,16.0,22.0,0.2277678211439143,4.165623654658673,dfs_alg
700,22038,0.031763317905436,31.482857142857146,0.0900797057020233,39,84,62.96571428571429,63.0,58.0,68.0,0.1242591057919147,4.956252122202415,dfs_alg
5075,15225,0.3333333333333333,3.0,0.0011824990145841,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
3552,7104,0.5,2.0,0.001126443255421,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,astar_alg
3152,904665,0.0034841626458412,287.0130076142132,0.1821726484380915,502,649,574.0260152284264,574.0,559.0,588.0,0.038212242253491,6.469247517654852,astar_alg
3343,197730,0.0169068932382541,59.14747233024229,0.0353964526213299,79,157,118.2949446604846,118.0,111.0,125.0,0.0920282828861607,5.474817425700417,astar_alg
3616,787640,0.0045909298664364,217.82079646017692,0.1205094309599872,355,500,435.641592920354,436.0,422.0,449.0,0.0456348045581092,6.325362137489837,bfs_alg
1764,145583,0.0121167993515726,82.53004535147392,0.0936245551349675,126,208,165.06009070294783,165.0,157.0,173.0,0.0735458623042764,5.611148054166216,bfs_alg
3989,381284,0.0104620178134933,95.583855602908,0.0479357350064734,143,243,191.167711205816,191.0,182.0,200.0,0.0698380575079102,5.767444835109387,astar_alg
5048,9457,0.5337844982552606,1.873415213946117,0.000742387641746,2,4,3.746830427892234,4.0,3.0,4.0,0.1165373708515666,0.8227544209746882,astar_alg
3376,6525,0.5173946360153256,1.932760663507109,0.0011453396524486,2,4,3.865521327014218,4.0,4.0,4.0,0.0891526012830067,0.5761777794140368,astar_alg
3466,10375,0.3340722891566265,2.9933641084824005,0.0017277714911875,3,12,5.986728216964801,6.0,5.0,7.0,0.2259375383363647,2.460166781515037,dfs_alg
2736,415828,0.0065796435064497,151.98391812865498,0.1111399766937147,247,371,303.96783625730995,304.0,293.0,315.0,0.0542481316796979,6.059079479921365,astar_alg
3567,10678,0.3340513204719985,2.993552004485562,0.0016789411130036,3,13,5.987104008971124,6.0,5.0,7.0,0.2271528937986004,2.4637563123502546,dfs_alg
3623,969423,0.0037372746468775,267.5746618824179,0.1477496752525775,461,601,535.1493237648358,535.0,521.0,549.0,0.0392586364088912,6.412288894594968,astar_alg
953,2859,0.3333333333333333,3.0,0.0063025210084033,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
2388,4776,0.5,2.0,0.0016757436112274,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,dfs_alg
422,1266,0.3333333333333333,3.0,0.014251781472684,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
566,1132,0.5,2.0,0.0070796460176991,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,astar_alg
345,652,0.5291411042944786,1.889855072463768,0.0109875294910684,2,4,3.779710144927536,4.0,4.0,4.0,0.1168164050572369,0.8035824859375813,astar_alg
3817,7276,0.5246014293567894,1.9062090647105057,0.00099906135467,2,4,3.8124181294210113,4.0,4.0,4.0,0.1030981289939359,0.7035058836183308,astar_alg
1300,2524,0.5150554675118859,1.9415384615384608,0.0029892816959791,2,4,3.883076923076923,4.0,4.0,4.0,0.0851813290039726,0.5318168295548653,astar_alg
2588,392728,0.0065898026114766,151.7496136012365,0.117317057287388,251,363,303.499227202473,303.0,292.0,315.0,0.0530060435278545,6.01629536596856,bfs_alg
3646,1105039,0.0032994310608041,303.0825562260011,0.1663004423736631,529,695,606.1651124520022,606.0,591.0,621.0,0.0367007275345865,6.488026296145624,astar_alg
3219,6314,0.5098194488438391,1.9614787200994093,0.0012190669484769,2,4,3.922957440198819,4.0,4.0,4.0,0.0691516324875578,0.3963518930505322,dfs_alg
4975,9726,0.5115155253958462,1.95497487437186,0.0007860775530244,2,4,3.909949748743719,4.0,4.0,4.0,0.0739264898495746,0.4405663800064104,dfs_alg
3582,10746,0.3333333333333333,3.0,0.0016755096341803,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
3577,7032,0.5086746302616609,1.9658932065977075,0.0010994928448533,2,4,3.931786413195415,4.0,4.0,4.0,0.065239878456276,0.3631944825354003,astar_alg
4239,8478,0.5,2.0,0.0009438414346389,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,astar_alg
4724,14172,0.3333333333333333,3.0,0.0012703789964005,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
1447,4341,0.3333333333333333,3.0,0.0041493775933609,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
2832,225933,0.0125346894875914,79.77860169491525,0.0563607217908267,120,210,159.5572033898305,159.0,151.0,168.0,0.0765105541142885,5.628147008577743,dfs_alg
350,1035,0.3381642512077294,2.9571428571428573,0.0169463774048301,3,12,5.914285714285715,6.0,5.0,7.0,0.237649736739108,2.4870264361308885,dfs_alg
2387,7143,0.3341733165336693,2.9924591537494765,0.0025083479914077,3,13,5.984918307498953,6.0,5.0,7.0,0.2324904000317755,2.480972920941152,astar_alg
4434,786933,0.0056345330542752,177.47699594046009,0.0800708305619039,295,414,354.95399188092017,355.0,343.0,367.0,0.0498907885616263,6.1781574027014265,dfs_alg
1977,5931,0.3333333333333333,3.0,0.0030364372469635,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
2346,7020,0.3341880341880341,2.9923273657289005,0.002552091569918,3,13,5.984654731457801,6.0,5.0,7.0,0.2312526592021133,2.4732996709209725,dfs_alg
869,2589,0.3356508304364619,2.9792865362485617,0.00686471552131,3,11,5.958573072497123,6.0,5.0,7.0,0.2267613645022914,2.4403382598167185,astar_alg
3533,10578,0.3339950841368879,2.9940560430229266,0.0016953884728329,3,15,5.988112086045853,6.0,5.0,7.0,0.2353582861520328,2.49591823616223,astar_alg
1366,5464,0.25,4.0,0.0058608058608058,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,astar_alg
4398,8057,0.5458607422117413,1.831969076853115,0.0008332813631353,2,4,3.66393815370623,4.0,3.0,4.0,0.1294459262668031,0.9291684652626976,dfs_alg
3629,7048,0.5148978433598184,1.9421328189583908,0.0010706355121049,2,4,3.8842656379167817,4.0,4.0,4.0,0.0832417937691512,0.5226996219535328,astar_alg
1343,151967,0.0088374449716056,113.15487714072972,0.1686361805376001,185,283,226.30975428145945,226.0,217.0,236.0,0.060897996480857,5.77531580313671,dfs_alg
172,2118,0.081208687440982,12.313953488372093,0.1440228478172174,12,38,24.627906976744185,25.0,21.0,28.0,0.2036860247435356,4.22291414258244,astar_alg
1987,366503,0.0054215108743993,184.45042778057373,0.1857506825584831,310,425,368.90085556114747,369.0,357.0,381.0,0.0472582160494636,6.121880313229922,astar_alg
4106,12297,0.3339025778645198,2.994885533365806,0.0014591403329431,3,14,5.989771066731612,6.0,5.0,7.0,0.2341932848392743,2.4954704208753635,dfs_alg
1110,65489,0.0169494113515246,58.9990990990991,0.1064005394032445,87,152,117.9981981981982,118.0,111.0,125.0,0.0854200690372264,5.326999908331447,dfs_alg
3321,6642,0.5,2.0,0.0012048192771084,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,astar_alg
4596,13765,0.3338903014892844,2.9949956483899043,0.0013035889655668,3,15,5.989991296779809,6.0,5.0,7.0,0.2353183540469078,2.4972164357230904,astar_alg
3849,11526,0.333940655908381,2.994544037412315,0.0015564158198608,3,14,5.98908807482463,6.0,5.0,7.0,0.233905621904263,2.4934198563696715,astar_alg
4672,13993,0.3338812263274494,2.9950770547945207,0.0012824136393896,3,15,5.990154109589041,6.0,5.0,7.0,0.2328785474004136,2.485102883606764,astar_alg
1347,4021,0.3349912956975877,2.985152190051968,0.0044355901783833,3,12,5.970304380103935,6.0,5.0,7.0,0.2316653657003316,2.4843949680981945,dfs_alg
2898,8675,0.3340634005763688,2.9934437543133194,0.0020665818117454,3,14,5.986887508626639,6.0,5.0,7.0,0.232138315937037,2.4795007606492763,astar_alg
2111,147012,0.0143593720240524,69.64092846991947,0.0660103587392601,106,181,139.28185693983897,139.0,131.0,147.0,0.0815156514654251,5.522169137006734,astar_alg
4352,8704,0.5,2.0,0.0009193288899103,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,dfs_alg
126,363,0.3471074380165289,2.880952380952381,0.046095238095238,3,10,5.761904761904762,6.0,5.0,7.0,0.2429246025900672,2.490473566396953,astar_alg
3114,6037,0.515819115454696,1.9386640976236351,0.0012455278494209,2,4,3.8773281952472702,4.0,4.0,4.0,0.0856137278405484,0.5436081395717176,astar_alg
5045,326917,0.0154320515604878,64.8001982160555,0.0256939723299189,85,175,129.600396432111,129.0,122.0,137.0,0.0860735524826646,5.51277552893085,astar_alg
3030,5929,0.5110473941642772,1.9567656765676569,0.0012920209155283,2,4,3.9135313531353138,4.0,4.0,4.0,0.0730065161295686,0.4298907564974463,dfs_alg
845,9524,0.0887232255354893,11.271005917159764,0.0267085448273928,7,36,22.542011834319528,22.0,19.0,26.0,0.2119543666296799,4.268199558856085,astar_alg
3845,6916,0.5559572006940428,1.7986996098829648,0.0009358478719474,2,4,3.5973992197659297,4.0,3.0,4.0,0.1369151183157819,0.9822938383809662,dfs_alg
1532,3064,0.5,2.0,0.0026126714565643,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,dfs_alg
1720,3357,0.5123622281799225,1.951744186046512,0.0022707902106416,2,4,3.903488372093024,4.0,4.0,4.0,0.0776394879859171,0.4660216592684935,dfs_alg
2291,140273,0.0163324374612363,61.22784810126582,0.0534741031452103,84,160,122.45569620253164,122.0,115.0,129.0,0.0874607284660885,5.441637952673768,astar_alg
1340,2593,0.5167759352101813,1.935074626865672,0.0028903280461025,2,4,3.870149253731343,4.0,4.0,4.0,0.0891193844455492,0.5691821073343984,dfs_alg
4164,7969,0.5225247835362028,1.9137848222862632,0.0009194258094096,2,4,3.827569644572528,4.0,4.0,4.0,0.0993550879872318,0.6696230774046441,astar_alg
783,51282,0.0152685152685152,65.49425287356321,0.1675044830525913,103,163,130.98850574712642,131.0,124.0,138.0,0.0778931189646742,5.345765944347213,dfs_alg
301,886,0.3397291196388262,2.9435215946843853,0.0196234772978959,3,13,5.887043189368771,6.0,5.0,7.0,0.2438210625985336,2.4921487922246204,astar_alg
3067,12268,0.25,4.0,0.0026092628832354,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,astar_alg
3488,13952,0.25,4.0,0.0022942357327215,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,astar_alg
3594,6583,0.5459516937566459,1.8316638842515305,0.0010195735509332,2,4,3.663327768503061,4.0,3.0,4.0,0.129641966745929,0.9312751095379888,astar_alg
3235,9682,0.3341251807477793,2.992890262751159,0.0018508907005263,3,12,5.985780525502318,6.0,5.0,7.0,0.2252198031758705,2.447014739257883,dfs_alg
668,36725,0.0181892443839346,54.97754491017964,0.164850209625726,84,142,109.95508982035928,110.0,104.0,115.0,0.083180091583601,5.169692209110711,dfs_alg
3825,940805,0.0040656671680103,245.962091503268,0.128641261246479,415,563,491.924183006536,492.0,478.0,506.0,0.0418303341451573,6.377577864904891,bfs_alg
3259,9777,0.3333333333333333,3.0,0.001841620626151,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
4304,12891,0.333876347839578,2.995120817843866,0.0013921082118725,3,15,5.990241635687732,6.0,5.0,7.0,0.2343739647836018,2.489869020198942,dfs_alg
4997,1535121,0.0032551180004703,307.20852511506905,0.1229817954824135,533,708,614.4170502301381,614.0,599.0,629.0,0.0370909728534568,6.531507177215542,dfs_alg
